,School,Type,Grades,Total students enrolled,Students per teacher,District,Score,Rating,Address,Length
224,Amarillo High SchoolTexas,Public district,9-12,2116.0,17:1,Amarillo Independent School District,6,Average,"4225 Danbury Street, Amarillo, TX, 79109",2
225,Anacortes High School,Public district,9-12,795.0,22:1,Anacortes School District,9,Above average,"1600 20th Street, Anacortes, WA, 98221",4
226,Fidalgo Elementary School,Public district,K-6,367.0,21:1,Anacortes School District,8,Above average,"13590 Gibralter Road, Anacortes, WA, 98221",2
227,Anacortes Middle School,Public district,7-8,623.0,22:1,Anacortes School District,7,Above average,"2202 M Avenue, Anacortes, WA, 98221",2
228,Mount Erie Elementary School,Public district,K-6,379.0,22:1,Anacortes School District,7,Above average,"1313 41st Street, Anacortes, WA, 98221",2
229,Island View Elementary School,Public district,K-6,426.0,18:1,Anacortes School District,6,Average,"2501 J Avenue, Anacortes, WA, 98221",2
248,Anaheim Hills Elementary School,Public district,K-6,512.0,30:1,Orange Unified School District,9,Above average,"6450 East Serrano, Anaheim, CA, 92807",2
249,Canyon High School,Public district,9-12,2195.0,29:1,Orange Unified School District,9,Above average,"220 South Imperial Highway, Anaheim, CA, 92807",2
250,El Rancho Charter School,Public charter,7-8,1196.0,27:1,Orange Unified School District,9,Above average,"181 South Del Giorgio Road, Anaheim, CA, 92808",2
251,Running Springs Elementary School,Public district,K-6,685.0,28:1,Orange Unified School District,8,Above average,"8670 East Running Springs Drive, Anaheim, CA, 92808",2
252,Canyon Rim Elementary School,Public district,K-6,647.0,27:1,Orange Unified School District,8,Above average,"1090 The Highlands Drive, Anaheim, CA, 92808",2
253,Crescent Elementary School,Public district,K-6,740.0,30:1,Orange Unified School District,8,Above average,"5001 Gerda Drive, Anaheim, CA, 92807",2
254,Nohl Canyon Elementary School,Public district,K-6,543.0,31:1,Orange Unified School District,8,Above average,"4100 East Nohl Ranch Road, Anaheim, CA, 92807",2
255,Esperanza High School,Public district,9-12,1580.0,23:1,Placentia-Yorba Linda Unified School District,8,Above average,"1830 North Kellogg Drive, Anaheim, CA, 92807",2
256,Woodsboro Elementary School,Public district,K-6,537.0,26:1,Placentia-Yorba Linda Unified School District,8,Above average,"7575 East Woodsboro Avenue, Anaheim, CA, 92807",2
257,Franklin (Benjamin) Elementary School,Public district,K-6,730.0,27:1,Anaheim Elementary School District,7,Above average,"521 West Water Street, Anaheim, CA, 92805",2
258,Walt Disney Elementary School,Public district,K-6,616.0,29:1,Magnolia Elementary School District,7,Above average,"2323 West Orange Avenue, Anaheim, CA, 92804",2
259,Juliette Low Elementary School,Public district,PK-6,562.0,27:1,Magnolia Elementary School District,7,Above average,"215 North Ventura, Anaheim, CA, 92801",2
260,Peter Marshall Elementary School,Public district,PK-6,751.0,28:1,Magnolia Elementary School District,7,Above average,"2627 Crescent Avenue, Anaheim, CA, 92801",2
261,Danbrook Elementary School,Public district,K-6,565.0,19:1,Centralia Elementary School District,6,Average,"320 Danbrook Street, Anaheim, CA, 92804",2
262,Jonas E. Salk Elementary School,Public district,PK-6,763.0,26:1,Magnolia Elementary School District,6,Average,"1411 South Gilbert Street, Anaheim, CA, 92804",2
263,Albert Schweitzer Elementary School,Public district,PK-6,620.0,26:1,Magnolia Elementary School District,6,Average,"229 South Dale Avenue, Anaheim, CA, 92804",2
264,Esther L. Walter Elementary School,Public district,PK-6,586.0,26:1,Magnolia Elementary School District,6,Average,"10802 Rustic Lane, Anaheim, CA, 92804",2
265,Imperial Elementary School,Public district,K-6,479.0,27:1,Orange Unified School District,6,Average,"400 South Imperial Highway, Anaheim, CA, 92807",2
266,Glenview Elementary School,Public district,K-6,534.0,22:1,Placentia-Yorba Linda Unified School District,6,Average,"1775 Glenview Avenue, Anaheim, CA, 92807",2
267,Twila Reid Elementary School,Public district,K-6,650.0,23:1,Savanna Elementary School District,6,Average,"720 South Western, Anaheim, CA, 92804",2
268,Westmont Elementary School,Public district,K-6,727.0,24:1,Anaheim Elementary School District,5,Average,"1525 West Westmont Drive, Anaheim, CA, 92801",2
269,Goals Academy,Public charter,K-6,243.0,,Anaheim Elementary School District,5,Average,"412 West Carl Karcher Way, Anaheim, CA, 92801",2
270,Barton (Clara) Elementary School,Public district,K-6,693.0,24:1,Anaheim Elementary School District,5,Average,"1926 Clearbrook Lane, Anaheim, CA, 92804",2
271,Price (Adelaide) Elementary School,Public district,K-6,752.0,26:1,Anaheim Elementary School District,5,Average,"1516 West North Street, Anaheim, CA, 92801",2
272,Roosevelt (Theodore) Elementary School,Public district,K-6,435.0,26:1,Anaheim Elementary School District,5,Average,"1600 East Vermont Avenue, Anaheim, CA, 92805",2
273,Aurora Elementary School,Public district,PK-6,210.0,14:1,Anchorage School District,9,Above average,"5085 10th Street, Anchorage, AK, 99506",2
274,Bayshore Elementary School,Public district,PK-6,468.0,17:1,Anchorage School District,9,Above average,"10500 Bayshore Drive, Anchorage, AK, 99515",2
275,Eagle Academy Charter School,Public charter,K-6,176.0,17:1,Anchorage School District,9,Above average,"10901 Mausel Street, Anchorage, AK, 99577",2
276,Northern Lights Abc K-8 School,Public district,PK-8,628.0,22:1,Anchorage School District,8,Above average,"2424 East Dowling Road, Anchorage, AK, 99507",2
277,Polaris K-12 School,Public district,K-12,482.0,17:1,Anchorage School District,8,Above average,"6200 Ashwood Street, Anchorage, AK, 99507",2
278,Rabbit Creek Elementary School,Public district,PK-6,478.0,16:1,Anchorage School District,8,Above average,"13650 Lake Otis Parkway, Anchorage, AK, 99516",2
279,Steller Secondary School,Public district,7-12,286.0,19:1,Anchorage School District,8,Above average,"2508 Blueberry Road, Anchorage, AK, 99503",2
280,Aquarian Charter School,Public charter,K-6,385.0,18:1,Anchorage School District,8,Above average,"1705 West 32nd Avenue, Anchorage, AK, 99517",2
281,Ravenwood Elementary School,Public district,PK-6,487.0,18:1,Anchorage School District,8,Above average,"9500 Wren Lane, Anchorage, AK, 99577",2
282,Orion Elementary School,Public district,PK-6,271.0,17:1,Anchorage School District,8,Above average,"5112 Arctic Warrior Drive, Anchorage, AK, 99501",2
283,Rilke Schule Charter School,Public charter,K-8,501.0,18:1,Anchorage School District,8,Above average,"650 West International Airport Road, Anchorage, AK, 99518",2
284,Birchwood Abc Elementary School,Public district,PK-6,292.0,15:1,Anchorage School District,7,Above average,"17010 Birchtree Street, Anchorage, AK, 99567",2
285,Chugach Optional Elementary School,Public district,PK-6,257.0,20:1,Anchorage School District,7,Above average,"1205 E Street, Anchorage, AK, 99501",2
286,Chugiak Elementary School,Public district,PK-6,499.0,16:1,Anchorage School District,7,Above average,"19932 Old Glenn Highway, Anchorage, AK, 99567",2
287,Mat-Su Middle College School,Public district,11-12,161.0,6:1,Matanuska-Susitna Borough School District,7,Above average,"10928 Eagle River Road, Anchorage, AK, 99577",2
288,Girdwood School,Public district,PK-8,191.0,15:1,Anchorage School District,7,Above average,"680 Hightower Road, Anchorage, AK, 99587",2
289,Huffman Elementary School,Public district,PK-6,368.0,13:1,Anchorage School District,7,Above average,"12000 Lorraine Street, Anchorage, AK, 99516",2
290,O'malley Elementary School,Public district,PK-6,304.0,17:1,Anchorage School District,7,Above average,"11100 Rockridge Drive, Anchorage, AK, 99516",2
291,Alpenglow Elementary School,Public district,PK-6,516.0,17:1,Anchorage School District,7,Above average,"19201 Driftwood Bay Drive, Anchorage, AK, 99577",2
292,Ursa Minor Elementary School,Public district,PK-6,305.0,20:1,Anchorage School District,7,Above average,"336 Hoonah Avenue, Anchorage, AK, 99505",2
293,Bear Valley Elementary School,Public district,PK-6,413.0,18:1,Anchorage School District,7,Above average,"15001 Mountain Air Drive, Anchorage, AK, 99516",2
294,Trailside Elementary School,Public district,PK-6,415.0,15:1,Anchorage School District,7,Above average,"5151 Abbott Road, Anchorage, AK, 99507",2
295,South Anchorage High School,Public district,9-12,1411.0,22:1,Anchorage School District,7,Above average,"13400 Elmore Road, Anchorage, AK, 99516",2
296,Eagle River High School,Public district,9-12,876.0,23:1,Anchorage School District,7,Above average,"8701 Yosemite Drive, Anchorage, AK, 99577",2
297,Chugiak High School,Public district,9-12,1004.0,20:1,Anchorage School District,6,Average,"16525 South Birchwood Loop Road, Anchorage, AK, 99567",2
298,Eastside Elementary School,Public district,K-5,636.0,17:1,Anderson Community School Corp,4,Below average,"844 Scatterfield Road, Anderson, IN, 46012",2
299,Anderson Elementary School,Public district,K-5,629.0,15:1,Anderson Community School Corp,3,Below average,"2035 Raible Avenue, Anderson, IN, 46011",2
300,Erskine Elementary School,Public district,K-5,639.0,16:1,Anderson Community School Corp,3,Below average,"811 West 60th Street, Anderson, IN, 46013",2
301,Anderson Preparatory Academy,Public charter,K-12,747.0,15:1,Anderson Preparatory Academy,3,Below average,"101 West 29th Street, Anderson, IN, 46016",2
302,Highland Jr High School,Public district,6-8,1424.0,16:1,Anderson Community School Corp,3,Below average,"2108 East 200 North, Anderson, IN, 46012",2
303,Tenth Street Elementary School,Public district,K-5,638.0,16:1,Anderson Community School Corp,3,Below average,"3124 East 10th Street, Anderson, IN, 46012",2
304,Valley Grove Elementary School,Public district,K-5,584.0,17:1,Anderson Community School Corp,3,Below average,"2160 South 300 East, Anderson, IN, 46017",2
305,Edgewood Elementary School,Public district,K-5,292.0,16:1,Anderson Community School Corp,2,Below average,"3525 Winding Way, Anderson, IN, 46011",2
306,Anderson High School,Public district,9-12,1866.0,16:1,Anderson Community School Corp,2,Below average,"4610 Madison Avenue, Anderson, IN, 46013",2
307,The Excel Center - Anderson,Public charter,11-12,334.0,,The Excel Center - Anderson,1,Below average,"630 Nichol Avenue, Anderson, IN, 46016",2
323,Community High School,Public district,8-12,531.0,16:1,Ann Arbor Public Schools,10,Top rated,"401 North Division Street, Ann Arbor, MI, 48104",4
324,Honey Creek Community School,Public charter,K-8,249.0,13:1,Honey Creek Community School,9,Above average,"1735 South Wagner Road, Ann Arbor, MI, 48103",2
325,Dicken Elementary School,Public district,K-5,345.0,17:1,Ann Arbor Public Schools,9,Above average,"2135 Runnymede Boulevard, Ann Arbor, MI, 48103",2
326,Bach Elementary School,Public district,K-5,369.0,17:1,Ann Arbor Public Schools,9,Above average,"600 West Jefferson Street, Ann Arbor, MI, 48103",2
327,Thurston Elementary School,Public district,K-5,493.0,18:1,Ann Arbor Public Schools,9,Above average,"2300 Prairie Street, Ann Arbor, MI, 48105",2
328,Martin Luther King Elementary School,Public district,K-5,504.0,21:1,Ann Arbor Public Schools,9,Above average,"3800 Waldenwood Drive, Ann Arbor, MI, 48105",2
329,Skyline High School,Public district,9-12,1480.0,19:1,Ann Arbor Public Schools,9,Above average,"2552 North Maple Road, Ann Arbor, MI, 48103",4
330,Washtenaw Technical Middle College,Public charter,9-12,709.0,33:1,Washtenaw Technical Middle College,8,Above average,"4800 East Huron River Drive, Ann Arbor, MI, 48105",2
331,Abbot School,Public district,K-5,313.0,15:1,Ann Arbor Public Schools,8,Above average,"2670 Sequoia Parkway, Ann Arbor, MI, 48103",2
332,Angell School,Public district,K-5,336.0,18:1,Ann Arbor Public Schools,8,Above average,"1608 South University Avenue, Ann Arbor, MI, 48104",2
333,Ann Arbor Open at Mack School,Public district,K-8,518.0,18:1,Ann Arbor Public Schools,8,Above average,"920 Miller Avenue, Ann Arbor, MI, 48103",2
334,Eberwhite School,Public district,K-5,351.0,16:1,Ann Arbor Public Schools,8,Above average,"800 Soule Boulevard, Ann Arbor, MI, 48103",2
335,John Allen School,Public district,K-5,394.0,17:1,Ann Arbor Public Schools,8,Above average,"2560 Towner Boulevard, Ann Arbor, MI, 48104",2
336,Slauson Middle School,Public district,6-8,773.0,18:1,Ann Arbor Public Schools,8,Above average,"1019 West Washington Street, Ann Arbor, MI, 48103",2
337,Wines Elementary School,Public district,K-5,442.0,19:1,Ann Arbor Public Schools,8,Above average,"1701 Newport Road, Ann Arbor, MI, 48103",2
338,Clague Middle School,Public district,6-8,656.0,15:1,Ann Arbor Public Schools,8,Above average,"2616 Nixon Road, Ann Arbor, MI, 48105",2
339,Lakewood Elementary School,Public district,K-5,301.0,18:1,Ann Arbor Public Schools,8,Above average,"344 Gralake Avenue, Ann Arbor, MI, 48103",2
340,Burns Park Elementary School,Public district,K-5,521.0,18:1,Ann Arbor Public Schools,7,Above average,"1414 Wells Street, Ann Arbor, MI, 48104",2
341,Forsythe Middle School,Public district,6-8,698.0,16:1,Ann Arbor Public Schools,7,Above average,"1655 Newport Road, Ann Arbor, MI, 48103",2
342,Haisley Elementary School,Public district,K-5,336.0,16:1,Ann Arbor Public Schools,7,Above average,"825 Duncan Street, Ann Arbor, MI, 48103",2
343,Uriah H. Lawton School,Public district,K-5,506.0,16:1,Ann Arbor Public Schools,7,Above average,"2250 South 7th Street, Ann Arbor, MI, 48103",2
344,Northside Elementary School,Public district,K-8,606.0,13:1,Ann Arbor Public Schools,7,Above average,"912 Barton Drive, Ann Arbor, MI, 48105",2
345,Tappan Middle School,Public district,6-8,772.0,16:1,Ann Arbor Public Schools,7,Above average,"2251 East Stadium Boulevard, Ann Arbor, MI, 48104",2
346,Pioneer High School,Public district,9-12,1820.0,18:1,Ann Arbor Public Schools,7,Above average,"601 West Stadium Boulevard, Ann Arbor, MI, 48103",4
347,Huron High School,Public district,9-12,1626.0,16:1,Ann Arbor Public Schools,7,Above average,"2727 Fuller Road, Ann Arbor, MI, 48105",4
348,Fox River Academy,Public charter,K-8,116.0,17:1,Appleton Area School District,10,Top rated,"1000 South Mason Street, Appleton, WI, 54914",2
350,Classical School,Public charter,K-8,484.0,19:1,Appleton Area School District,9,Above average,"3310 N Durkee St, Appleton, WI, 54911",2
351,Odyssey-Magellan School,Public charter,3-8,147.0,25:1,Appleton Area School District,9,Above average,"2037 North Elinor Street, Appleton, WI, 54914",2
352,Tesla Engineering Charter School,Public charter,9-12,130.0,46:1,Appleton Area School District,9,Above average,"2121 East Emmers Drive, Appleton, WI, 54915",2
354,Appleton Career Academy,Public charter,9-12,96.0,40:1,Appleton Area School District,9,Above average,"5000 North Ballard Road, Appleton, WI, 54913",2
355,Renaissance School,Public charter,9-12,159.0,50:1,Appleton Area School District,8,Above average,"610 North Badger Avenue, Appleton, WI, 54914",2
