,School,Score,Rating,Address
297,United Methodist Nursery School,Currently unrated,8/10,"1536 Flickinger Rd, Akron, OH, 44312"
298,Lakemore United Methodist Pre-School,Currently unrated,8/10,"1536 Flickinger Road, Akron, OH, 44312"
299,Henry Center for Child Care,Currently unrated,8/10,"161 N Forge St, Akron, OH, 44304"
300,Valley Kids Learning Center Ii,Currently unrated,8/10,"1670 Akron Peninsula Road, Akron, OH, 44313"
301,Kinder Garden Montessori School,Currently unrated,8/10,"1723 South Cleveland Massillon Road, Akron, OH, 44321"
302,Praise Day Care Center,Currently unrated,7/10,"1725 Olalla Ave, Akron, OH, 44305"
303,Salvation Army Child Development Center,Currently unrated,7/10,"Po Box 22520, Akron, OH, 44302"
304,Kenmore Christian Pre-School,Currently unrated,7/10,"1900 East Avenue, Akron, OH, 44314"
305,Fairlawn West Pre-School,Currently unrated,7/10,"2095 West Market Street, Akron, OH, 44313"
306,Immaculate Conception Ps & Child Care Center,Currently unrated,7/10,"2128 16th Street Southwest, Akron, OH, 44314"
307,Childtime Learning Center,Currently unrated,7/10,"2145 Eastwood Avenue, Akron, OH, 44305"
308,Park's Little Shepherd Ps,Currently unrated,7/10,"2308 24th Street Southwest, Akron, OH, 44314"
309,Riverside Alliance Pre-School,Currently unrated,10/10,"2433 South Main Street, Akron, OH, 44319"
310,Noah's Ark Child Care Center,Currently unrated,10/10,"2445 S Arlington Rd, Akron, OH, 44319"
311,All Around the Clock Child Care Center,Currently unrated,10/10,"2525 Romig Rd, Akron, OH, 44320"
312,Childtime Children's Center #506,Currently unrated,9/10,"2645 Manchester Road, Akron, OH, 44319"
313,Faith Lutheran Pre-School,Currently unrated,9/10,"2726 West Market Street, Akron, OH, 44333"
314,Firestone Park Pre-School,Currently unrated,9/10,"275 South Firestone Boulevard, Akron, OH, 44301"
315,Nanna's Day Care,Currently unrated,9/10,"2751 Old Home Road, Akron, OH, 44312"
316,Kim's Kids Day Care,Currently unrated,9/10,"2914 Mayfair Rd, Akron, OH, 44312"
317,Sunnybrook Care DC,Currently unrated,9/10,"315 Fernwood Dr, Akron, OH, 44320"
318,Community Christian Pre-School Dc,Currently unrated,9/10,"3260 Cormany Road, Akron, OH, 44319"
319,Fairlawn Village Pre-School,Currently unrated,9/10,"4050 Embassy Parkway, Akron, OH, 44333"
320,Green Kindercare,Currently unrated,8/10,"3405 Massillon Road, Akron, OH, 44312"
321,Firestone Park Ymca Pre-School Cc,Currently unrated,8/10,"209 South Main Street #501, Akron, OH, 44308"
322,YMCA Sacc-Firestone Park,Currently unrated,8/10,"350 E Wilbeth Rd, Akron, OH, 44301"
323,Firestone Pk Ymca Sacc-Glover,Currently unrated,8/10,"209 South Main Street #501, Akron, OH, 44308"
324,St. Sebastian Elementary School,Currently unrated,8/10,"500 Mull Avenue, Akron, OH, 44320"
325,Valley Kids Learning Center Ii,Currently unrated,8/10,"1670 Akron Peninsula Road, Akron, OH, 44313"
326,Kinder Garden Montessori School,Currently unrated,8/10,"1723 South Cleveland Massillon Road, Akron, OH, 44321"
327,Praise Day Care Center,Currently unrated,7/10,"1725 Olalla Ave, Akron, OH, 44305"
328,Salvation Army Child Development Center,Currently unrated,7/10,"Po Box 22520, Akron, OH, 44302"
329,Kenmore Christian Pre-School,Currently unrated,7/10,"1900 East Avenue, Akron, OH, 44314"
330,Fairlawn West Pre-School,Currently unrated,7/10,"2095 West Market Street, Akron, OH, 44313"
331,Immaculate Conception Ps & Child Care Center,Currently unrated,7/10,"2128 16th Street Southwest, Akron, OH, 44314"
332,Childtime Learning Center,Currently unrated,7/10,"2145 Eastwood Avenue, Akron, OH, 44305"
333,Park's Little Shepherd Ps,Currently unrated,7/10,"2308 24th Street Southwest, Akron, OH, 44314"
334,Riverside Alliance Pre-School,Currently unrated,7/10,"2433 South Main Street, Akron, OH, 44319"
335,Noah's Ark Child Care Center,Currently unrated,7/10,"2445 S Arlington Rd, Akron, OH, 44319"
336,All Around the Clock Child Care Center,Currently unrated,7/10,"2525 Romig Rd, Akron, OH, 44320"
337,Childtime Children's Center #506,Currently unrated,7/10,"2645 Manchester Road, Akron, OH, 44319"
338,Faith Lutheran Pre-School,Currently unrated,7/10,"2726 West Market Street, Akron, OH, 44333"
339,Firestone Park Pre-School,Currently unrated,7/10,"275 South Firestone Boulevard, Akron, OH, 44301"
340,Nanna's Day Care,Currently unrated,7/10,"2751 Old Home Road, Akron, OH, 44312"
341,Kim's Kids Day Care,Currently unrated,7/10,"2914 Mayfair Rd, Akron, OH, 44312"
342,Sunnybrook Care DC,Currently unrated,7/10,"315 Fernwood Dr, Akron, OH, 44320"
343,Community Christian Pre-School Dc,Currently unrated,7/10,"3260 Cormany Road, Akron, OH, 44319"
344,Fairlawn Village Pre-School,Currently unrated,7/10,"4050 Embassy Parkway, Akron, OH, 44333"
345,Green Kindercare,Currently unrated,7/10,"3405 Massillon Road, Akron, OH, 44312"
346,Firestone Park Ymca Pre-School Cc,Currently unrated,7/10,"209 South Main Street #501, Akron, OH, 44308"
347,YMCA Sacc-Firestone Park,Currently unrated,6/10,"350 E Wilbeth Rd, Akron, OH, 44301"
348,Firestone Pk Ymca Sacc-Glover,Currently unrated,6/10,"209 South Main Street #501, Akron, OH, 44308"
349,St. Sebastian Elementary School,Currently unrated,6/10,"500 Mull Avenue, Akron, OH, 44320"
350,Rosa's Playhouse Dc,Currently unrated,6/10,"359 South Arlington Street, Akron, OH, 44306"
351,A Y's Place Child Development Center,Currently unrated,6/10,"209 South Main Street #501, Akron, OH, 44308"
352,Kids Play Learning Center,Currently unrated,6/10,"388 S Main St, Akron, OH, 44311"
353,Ring Around The Rosie,Currently unrated,6/10,"3895 South Main Street, Akron, OH, 44319"
354,Brenda's Place Day Care,Currently unrated,6/10,"393 Grand Ave, Akron, OH, 44302"
355,All About Children Urban Child Care Center,Currently unrated,6/10,"440 Vernon Odom Boulevard, Akron, OH, 44307"
356,Asca Early Head Start-Agape,Currently unrated,6/10,"442 Bell St, Akron, OH, 44307"
357,Woodland Pre-School & Kindergarten,Currently unrated,6/10,"444 North Hawkins Avenue, Akron, OH, 44313"
358,Kozmic Korner,Currently unrated,6/10,"45 Hanna Parkway, Akron, OH, 44319"
359,Genesis Too Dayc Are,Currently unrated,7/10,"459 Julien Ave, Akron, OH, 44310"
360,Lakeview Christian Pre-School,Currently unrated,7/10,"4613 South Main Street, Akron, OH, 44319"
361,Summa Early Education & Learning Center,Currently unrated,7/10,"475 Ohio St, Akron, OH, 44304"
362,Genesis Child Care & Development Center,Currently unrated,7/10,"515 Ardella Avenue, Akron, OH, 44306"
363,Erma Jones Pre-School,Currently unrated,7/10,"539 South Arlington Street, Akron, OH, 44306"
364,Child Time Learning Center,Currently unrated,7/10,"555 White Pond Drive, Akron, OH, 44320"
365,Montrose Pre-School,Currently unrated,7/10,"605 North Revere Road, Akron, OH, 44333"
366,Green Valley Christian Pre-School,Currently unrated,7/10,"620 East Turkeyfoot Lake Road, Akron, OH, 44319"
367,YWCA Sacc-Portage Path,Currently unrated,7/10,"670 W Exchange St, Akron, OH, 44302"
368,YWCA Central Child Care,Currently unrated,7/10,"670 W Exchange St, Akron, OH, 44302"
369,Eastgate Pre-School,Currently unrated,7/10,"671 Canton Road, Akron, OH, 44312"
370,David Bennett Child Development Center,Currently unrated,7/10,"732 Russell Ave, Akron, OH, 44307"
371,Early Childhood Education,Currently unrated,7/10,"750 White Pond Drive, Akron, OH, 44320"
372,Project Agape Day Care,Currently unrated,6/10,"760 E Archwood Ave, Akron, OH, 44301"
373,Bobby Kidd Dev Center,Currently unrated,6/10,"77 W Thornton St, Akron, OH, 44311"
374,Family Enrichment Child Care Center,Currently unrated,6/10,"910 Eller Avenue, Akron, OH, 44306"
375,Rosa's Playhouse Dc,Currently unrated,6/10,"359 South Arlington Street, Akron, OH, 44306"
376,A Y's Place Child Development Center,Currently unrated,6/10,"209 South Main Street #501, Akron, OH, 44308"
377,Kids Play Learning Center,Currently unrated,6/10,"388 S Main St, Akron, OH, 44311"
378,Ring Around The Rosie,Currently unrated,6/10,"3895 South Main Street, Akron, OH, 44319"
379,Brenda's Place Day Care,Currently unrated,6/10,"393 Grand Ave, Akron, OH, 44302"
380,All About Children Urban Child Care Center,Currently unrated,6/10,"440 Vernon Odom Boulevard, Akron, OH, 44307"
381,Asca Early Head Start-Agape,Currently unrated,6/10,"442 Bell St, Akron, OH, 44307"
382,Woodland Pre-School & Kindergarten,Currently unrated,6/10,"444 North Hawkins Avenue, Akron, OH, 44313"
383,Kozmic Korner,Currently unrated,6/10,"45 Hanna Parkway, Akron, OH, 44319"
384,Genesis Too Dayc Are,Currently unrated,6/10,"459 Julien Ave, Akron, OH, 44310"
385,Lakeview Christian Pre-School,Currently unrated,6/10,"4613 South Main Street, Akron, OH, 44319"
386,Summa Early Education & Learning Center,Currently unrated,6/10,"475 Ohio St, Akron, OH, 44304"
387,Genesis Child Care & Development Center,Currently unrated,6/10,"515 Ardella Avenue, Akron, OH, 44306"
388,Erma Jones Pre-School,Currently unrated,6/10,"539 South Arlington Street, Akron, OH, 44306"
389,Child Time Learning Center,Currently unrated,6/10,"555 White Pond Drive, Akron, OH, 44320"
390,Montrose Pre-School,Currently unrated,6/10,"605 North Revere Road, Akron, OH, 44333"
391,Green Valley Christian Pre-School,Currently unrated,6/10,"620 East Turkeyfoot Lake Road, Akron, OH, 44319"
392,YWCA Sacc-Portage Path,Currently unrated,6/10,"670 W Exchange St, Akron, OH, 44302"
393,YWCA Central Child Care,Currently unrated,6/10,"670 W Exchange St, Akron, OH, 44302"
394,Eastgate Pre-School,Currently unrated,6/10,"671 Canton Road, Akron, OH, 44312"
395,David Bennett Child Development Center,Currently unrated,5/10,"732 Russell Ave, Akron, OH, 44307"
396,Early Childhood Education,Currently unrated,5/10,"750 White Pond Drive, Akron, OH, 44320"
397,Project Agape Day Care,Currently unrated,5/10,"760 E Archwood Ave, Akron, OH, 44301"
398,Bobby Kidd Dev Center,Currently unrated,5/10,"77 W Thornton St, Akron, OH, 44311"
399,Family Enrichment Child Care Center,Currently unrated,5/10,"910 Eller Avenue, Akron, OH, 44306"
400,Morning Glories Pre-School & Child Development Center,Currently unrated,5/10,"923 E Wilbeth Rd, Akron, OH, 44306"
401,Grace Lutheran Pre-School,Currently unrated,5/10,"989 N Portage Path, Akron, OH, 44321"
402,Destiny Youth Academy,Currently unrated,5/10,"S Portage Path, Akron, OH, 44302"
403,Legacy Childcare Academy,Currently unrated,5/10,"Po Box 26104, Akron, OH, 44319"
404,Kozmic Korner Day Care,Currently unrated,5/10,"3700 Embassy Parkway #240, Akron, OH, 44333"
405,Center for Child Development,Currently unrated,5/10,"108 Fir Hill, Akron, OH, 44325"
406,Center For Child Devel- Akron,Currently unrated,5/10,"108 Fir Hill, Akron, OH, 44325"
407,Imagine Akron Academy,Currently unrated,5/10,"2405 Romig, Akron, OH, 44311"
408,Morning Glories Pre-School & Child Development Center,Currently unrated,5/10,"923 E Wilbeth Rd, Akron, OH, 44306"
409,Grace Lutheran Pre-School,Currently unrated,6/10,"989 N Portage Path, Akron, OH, 44321"
410,Destiny Youth Academy,Currently unrated,6/10,"S Portage Path, Akron, OH, 44302"
411,Legacy Childcare Academy,Currently unrated,6/10,"Po Box 26104, Akron, OH, 44319"
412,Kozmic Korner Day Care,Currently unrated,6/10,"3700 Embassy Parkway #240, Akron, OH, 44333"
413,Center for Child Development,Currently unrated,6/10,"108 Fir Hill, Akron, OH, 44325"
414,Center For Child Devel- Akron,Currently unrated,6/10,"108 Fir Hill, Akron, OH, 44325"
415,Imagine Akron Academy,Currently unrated,6/10,"2405 Romig, Akron, OH, 44311"
416,Robert A. Cross Middle Magnet,Top rated,6/10,"324 Lockett Station Road, Albany, GA, 31721"
417,Lincoln Elementary Magnet School,Above average,6/10,"518 West Society Avenue, Albany, GA, 31701"
418,Lake Park Elementary School,Average,6/10,"605 Meadowlark Drive, Albany, GA, 31707"
419,Radium Springs Elementary School,Average,6/10,"2400 Roxanna Road, Albany, GA, 31705"
420,International Studies Elementary Charter School,Average,5/10,"2237 Cutts Drive, Albany, GA, 31705"
421,Westover High School,Below average,5/10,"2600 Partridge Drive, Albany, GA, 31707"
422,Sherwood Acres Elementary School,Below average,5/10,"2201 Doncaster Drive, Albany, GA, 31707"
423,Merry Acres Middle School,Below average,5/10,"1601 Florence Drive, Albany, GA, 31707"
424,Lamar Reese School Of The Arts,Below average,5/10,"1215 Lily Pond Road, Albany, GA, 31701"
425,Monroe High School,Below average,5/10,"900 Lippitt Dr, Albany, GA, 31701"
426,Morningside Elementary School,Below average,5/10,"120 Sunset Lane, Albany, GA, 31705"
427,Dougherty Comprehensive High School,Below average,5/10,"1800 Pearce Avenue, Albany, GA, 31705"
428,Albany Middle School,Below average,5/10,"1700 Cordell Avenue, Albany, GA, 31705"
429,West Town Elementary School,Below average,5/10,"1113 University Street, Albany, GA, 31707"
430,Turner Elementary School,Below average,5/10,"2001 Leonard Avenue, Albany, GA, 31705"
431,Live Oak Elementary School,Below average,5/10,"4529 Gillionville Road, Albany, GA, 31721"
432,Northside Elementary School,Below average,5/10,"901 14th Avenue, Albany, GA, 31701"
433,Alice Coachman Elementary School,Below average,5/10,"1425 West Oakridge Drive, Albany, GA, 31721"
434,Martin Luther King- Jr. Elementary School,Below average,5/10,"3125 Martin Luther King Junior Drive, Albany, GA, 31701"
435,Radium Springs Middle School,Below average,5/10,"2600 Radium Springs Road, Albany, GA, 31705"
436,Jackson Heights Elementary School,Below average,5/10,"1305 East 2nd Avenue, Albany, GA, 31705"
437,Life Christian Academy Of Palmyra,Currently unrated,5/10,"1225 West 4th Avenue, Albany, GA, 31707"
438,New Birth Fellowship Christian Academy,Currently unrated,5/10,"2106 Radium Springs Road, Albany, GA, 31705"
439,Trinity Learning Institute,Currently unrated,4/10,"2461 W Gordon Ave, Albany, GA, 31707"
440,Far Horizons Montessori,Currently unrated,4/10,"Po Box 71273, Albany, GA, 31708"
441,Robert A. Cross Middle Magnet,Top rated,4/10,"324 Lockett Station Road, Albany, GA, 31721"
442,Lincoln Elementary Magnet School,Above average,4/10,"518 West Society Avenue, Albany, GA, 31701"
443,Lake Park Elementary School,Average,4/10,"605 Meadowlark Drive, Albany, GA, 31707"
444,Radium Springs Elementary School,Average,4/10,"2400 Roxanna Road, Albany, GA, 31705"
445,International Studies Elementary Charter School,Average,4/10,"2237 Cutts Drive, Albany, GA, 31705"
446,Westover High School,Below average,4/10,"2600 Partridge Drive, Albany, GA, 31707"
447,Sherwood Acres Elementary School,Below average,4/10,"2201 Doncaster Drive, Albany, GA, 31707"
448,Merry Acres Middle School,Below average,4/10,"1601 Florence Drive, Albany, GA, 31707"
449,Lamar Reese School Of The Arts,Below average,4/10,"1215 Lily Pond Road, Albany, GA, 31701"
450,Monroe High School,Below average,4/10,"900 Lippitt Dr, Albany, GA, 31701"
451,Morningside Elementary School,Below average,4/10,"120 Sunset Lane, Albany, GA, 31705"
452,Dougherty Comprehensive High School,Below average,4/10,"1800 Pearce Avenue, Albany, GA, 31705"
453,Albany Middle School,Below average,4/10,"1700 Cordell Avenue, Albany, GA, 31705"
454,West Town Elementary School,Below average,4/10,"1113 University Street, Albany, GA, 31707"
455,Turner Elementary School,Below average,4/10,"2001 Leonard Avenue, Albany, GA, 31705"
456,Live Oak Elementary School,Below average,4/10,"4529 Gillionville Road, Albany, GA, 31721"
457,Northside Elementary School,Below average,4/10,"901 14th Avenue, Albany, GA, 31701"
458,Alice Coachman Elementary School,Below average,4/10,"1425 West Oakridge Drive, Albany, GA, 31721"
459,Martin Luther King- Jr. Elementary School,Below average,5/10,"3125 Martin Luther King Junior Drive, Albany, GA, 31701"
460,Radium Springs Middle School,Below average,5/10,"2600 Radium Springs Road, Albany, GA, 31705"
461,Jackson Heights Elementary School,Below average,5/10,"1305 East 2nd Avenue, Albany, GA, 31705"
462,Life Christian Academy Of Palmyra,Currently unrated,5/10,"1225 West 4th Avenue, Albany, GA, 31707"
463,New Birth Fellowship Christian Academy,Currently unrated,5/10,"2106 Radium Springs Road, Albany, GA, 31705"
464,Trinity Learning Institute,Currently unrated,4/10,"2461 W Gordon Ave, Albany, GA, 31707"
465,Far Horizons Montessori,Currently unrated,4/10,"Po Box 71273, Albany, GA, 31708"
466,Whitney Center Head Start,Currently unrated,4/10,"Po Box 3466, Albany, GA, 31706"
467,Wee-Kare Day Care & Pre-School,Currently unrated,4/10,"Allergy & Asthma Clinics-Ga: Mckemie Nancy, Albany, GA, 31707"
468,Turner Job Corporation Head Start,Currently unrated,4/10,"Po Box 50216, Albany, GA, 31703"
469,Tee's Tiny Tots Learning Center I,Currently unrated,4/10,"Po Box 4481, Albany, GA, 31706"
470,Pediatria Healthcare Kids Child Care Center,Currently unrated,4/10,"2407 Westgate Drive, Albany, GA, 31707"
471,Lippitt Center Head Start,Currently unrated,4/10,"819 Lippitt Drive, Albany, GA, 31701"
472,Harvey Rd Head Start Child Care Center,Currently unrated,4/10,"2423 Harvey Road, Albany, GA, 31701"
473,Mt Zion Cdc Head Start,Currently unrated,4/10,"209 Slater King Drive, Albany, GA, 31701"
474,Spgs Little Citizens Learning,Currently unrated,4/10,"1321 Radium Springs Road, Albany, GA, 31705"
475,Children's Creative Learning Center,Currently unrated,4/10,"510 Liberty Expressway, Albany, GA, 31705"
476,East Albany Christian Dcc,Currently unrated,4/10,"2103 Leonard Avenue, Albany, GA, 31705"
