,School,Type,Grades,Total students enrolled,Students per teacher,Reviews,District
18,"4/10Below averageCleveland El School424 North 9th Street, Allentown, PA, 18102 Homes for sale",Public district,1-5,289.0,13:1,1 review,Allentown City School District
19,"3/10Below averageLuis A. Ramos El School1430 West Allen Street, Allentown, PA, 18102 Homes for sale",Public district,K-5,697.0,15:1,5 reviews,Allentown City School District
20,"3/10Below averageRoberto Clemente Elementary Charter School501 Cedar Street, Allentown, PA, 18102 Homes for sale",Public charter,K-5,304.0,17:1,No reviews yet,Test Load DISTRICT 121391526
21,"3/10Below averageJefferson El School750 Saint John Street, Allentown, PA, 18103 Homes for sale",Public district,K-5,557.0,16:1,2 reviews,Allentown City School District
22,"3/10Below averageLehigh Park El School1708 Coronado Street, Allentown, PA, 18103 Homes for sale",Public district,K-5,338.0,17:1,1 review,Allentown City School District
23,"3/10Below averageMosser El School129 South Dauphin Street, Allentown, PA, 18109 Homes for sale",Public district,K-5,549.0,13:1,2 reviews,Allentown City School District
24,"3/10Below averageRoosevelt Elementary School210 West Susquehanna Street, Allentown, PA, 18103 Homes for sale",Public district,K-5,670.0,14:1,3 reviews,Allentown City School District
0,"9/10Above averageIrving El School110 Cherry Avenue, Altoona, PA, 16601 Homes for sale",Public district,K-6,352.0,19:1,1 review,Altoona Area School District
1,"6/10AverageJuniata Gap El School3365 Juniata Gap Road, Altoona, PA, 16601 Homes for sale",Public district,K-6,693.0,16:1,2 reviews,Altoona Area School District
2,"6/10AverageMowrie A Ebner El School308 Hillside Avenue, Altoona, PA, 16601 Homes for sale",Public district,K-6,610.0,15:1,No reviews yet,Altoona Area School District
3,"6/10AverageBaker El School108 Ward Avenue, Altoona, PA, 16602 Homes for sale",Public district,K-6,330.0,18:1,1 review,Altoona Area School District
4,"5/10AveragePleasant Valley El School310 Cayuga Avenue, Altoona, PA, 16602 Homes for sale",Public district,K-6,582.0,18:1,1 review,Altoona Area School District
5,"5/10AverageAltoona Area High School1415 6th Avenue, Altoona, PA, 16602 Homes for sale",Public district,7-12,1684.0,14:1,6 reviews,Altoona Area School District
6,"4/10Below averageLogan El School301 Sycamore Street, Altoona, PA, 16602 Homes for sale",Public district,K-6,532.0,15:1,6 reviews,Altoona Area School District
7,"3/10Below averageJuniata El School418 North 8th Avenue, Altoona, PA, 16601 Homes for sale",Public district,K-6,601.0,15:1,1 review,Altoona Area School District
8,"3/10Below averageAltoona Area Jr High School1400 7th Avenue, Altoona, PA, 16602 Homes for sale",Public district,7-9,1745.0,14:1,No reviews yet,Altoona Area School District
9,"2/10Below averagePenn-Lincoln Elementary School411 12th Street, Altoona, PA, 16602 Homes for sale",Public district,K-6,439.0,13:1,6 reviews,Altoona Area School District
10,"1/10Below averageKimmel Alternative School900 South Jaggard Street, Altoona, PA, 16602 Homes for sale",Public district,7-12,38.0,10:1,No reviews yet,Altoona Area School District
11,"Currently unratedNorthwestern Human Services Autism School1012 8th Avenue, Altoona, PA, 16602 Homes for sale",Private,K-12,38.0,,No reviews yet,
12,"Currently unratedHeaven Sent Early Lc & Pre-School2024 6th Avenue, Altoona, PA, 16602 Homes for sale",Private,PK,,,No reviews yet,
13,"Currently unratedFairview Head Start1609 Kettle Street, Altoona, PA, 16601 Homes for sale",Private,PK,,,No reviews yet,
14,"Currently unratedJuniata Head Start418 North 8th Avenue, Altoona, PA, 16601 Homes for sale",Private,PK,,,No reviews yet,
15,"Currently unratedTime To Succeed Child Care Center1020 Pleasant Valley Boulevard, Altoona, PA, 16602 Homes for sale",Private,PK,,,No reviews yet,
16,"Currently unratedWalgrozes Day Care Pre-School610 South Carlisle Lane, Altoona, PA, 16602 Homes for sale",Private,PK,,,No reviews yet,
17,"Currently unratedLily Pond Child Care Center-Juniata GapJuniata Gap Road, Altoona, PA, 16601 Homes for sale",Private,PK,,,No reviews yet,
18,"Currently unratedBegin With Us Child Care Center & Pre-School711 Pleasant Valley Boulevard, Altoona, PA, 16602 Homes for sale",Private,PK,,,No reviews yet,
19,"Currently unratedGiggle Wiggle Play & Learn Child Care Center1913 East Pleasant Valley Boulevard, Altoona, PA, 16602 Homes for sale",Private,PK,,,No reviews yet,
20,"Currently unratedLily Pond Sch/Age ProgramSheraton Drive, Altoona, PA, 16601 Homes for sale",Private,PK,,,No reviews yet,
21,"Currently unratedSt Rose Of Lima School5519 West 6th Avenue, Altoona, PA, 16602 Homes for sale",Private,PK-8,199.0,,1 review,
22,"Currently unratedBishop Guilfoyle Catholic High School2400 Pleasant Valley Boulevard, Altoona, PA, 16602 Homes for sale",Private,9-12,329.0,,5 reviews,
23,"Currently unratedSt John The Evangelist School311 Lotz Avenue, Altoona, PA, 16602 Homes for sale",Private,PK-8,109.0,,1 review,
24,"Currently unratedAltoona Central Catholic School424 Wopsononock Ave, Altoona, PA, 16601 Homes for sale",Private,PK-4,,,No reviews yet,
0,"9/10Above averageArden Road Elementary School6801 Learning Tree Avenue, Amarillo, TX, 79119 Homes for sale",Public district,PK-4,476.0,16:1,5 reviews,Canyon Independent School District
1,"8/10Above averageTradewind Elementary School4300 South Williams Street, Amarillo, TX, 79118 Homes for sale",Public district,PK-5,659.0,17:1,1 review,Amarillo Independent School District
2,"8/10Above averageHillside Elementary School9600 Perry Avenue, Amarillo, TX, 79119 Homes for sale",Public district,PK-4,552.0,18:1,2 reviews,Canyon Independent School District
3,"8/10Above averageTravis 6th Grade Campus2801 Northeast 24th Avenue, Amarillo, TX, 79107 Homes for sale",Public district,6,346.0,18:1,No reviews yet,Amarillo Independent School District
4,"8/10Above averageBelmar Elementary School6324 Adirondack Trail, Amarillo, TX, 79106 Homes for sale",Public district,PK-5,404.0,15:1,3 reviews,Amarillo Independent School District
5,"8/10Above averageEmerson Elementary School600 North Cleveland Street, Amarillo, TX, 79107 Homes for sale",Public district,PK-5,538.0,13:1,1 review,Amarillo Independent School District
6,"8/10Above averageHumphrey's Highland Elementary School3901 Southeast 15th Avenue, Amarillo, TX, 79104 Homes for sale",Public district,PK-5,572.0,14:1,1 review,Amarillo Independent School District
7,"8/10Above averageSouth Georgia Elementary School5018 Susan Drive, Amarillo, TX, 79110 Homes for sale",Public district,PK-5,405.0,16:1,3 reviews,Amarillo Independent School District
8,"8/10Above averageSleepy Hollow Elementary School3435 Reeder Drive, Amarillo, TX, 79121 Homes for sale",Public district,PK-5,557.0,16:1,11 reviews,Amarillo Independent School District
9,"8/10Above averageWoodlands Elementary School2501 North Coulter Street, Amarillo, TX, 79124 Homes for sale",Public district,PK-4,416.0,17:1,10 reviews,Amarillo Independent School District
10,"8/10Above averageGreenways Intermediate School8100 Pineridge Drive, Amarillo, TX, 79119 Homes for sale",Public district,5-6,951.0,16:1,4 reviews,Canyon Independent School District
11,"7/10Above averageLorenzo De Zavala Middle School2801 North Coulter Street, Amarillo, TX, 79124 Homes for sale",Public district,5-8,420.0,14:1,5 reviews,Amarillo Independent School District
12,"7/10Above averageGene Howe Elementary School5108 Pico Boulevard, Amarillo, TX, 79110 Homes for sale",Public district,PK-4,374.0,15:1,4 reviews,Canyon Independent School District
13,"7/10Above averageSundown Lane Elementary School4715 West Sundown Lane, Amarillo, TX, 79118 Homes for sale",Public district,PK-4,282.0,19:1,1 review,Canyon Independent School District
14,"7/10Above averageVista Academy Of Amarillo6000 S Georgia St, Amarillo, TX, 79118 Homes for sale",Public charter,PK-12,481.0,16:1,2 reviews,Texas College Preparatory Academies
15,"7/10Above averageCity View Elementary School3400 Knoll Drive, Amarillo, TX, 79110 Homes for sale",Public district,PK-4,533.0,17:1,3 reviews,Canyon Independent School District
16,"7/10Above averageAvondale Elementary School1500 South Avondale Street, Amarillo, TX, 79106 Homes for sale",Public district,PK-5,515.0,15:1,5 reviews,Amarillo Independent School District
17,"7/10Above averageBivins Elementary School1500 South Fannin Street, Amarillo, TX, 79102 Homes for sale",Public district,PK-5,537.0,17:1,8 reviews,Amarillo Independent School District
18,"7/10Above averageBonham Middle School5600 Southwest 49th Avenue, Amarillo, TX, 79109 Homes for sale",Public district,6-8,820.0,15:1,4 reviews,Amarillo Independent School District
19,"7/10Above averageLamar Elementary School3800 South Lipscomb Street, Amarillo, TX, 79110 Homes for sale",Public district,PK-5,337.0,10:1,No reviews yet,Amarillo Independent School District
20,"7/10Above averagePuckett Elementary School6700 Oakhurst Drive, Amarillo, TX, 79109 Homes for sale",Public district,PK-5,404.0,17:1,2 reviews,Amarillo Independent School District
21,"7/10Above averageWills Elementary School3500 Southwest 11th Avenue, Amarillo, TX, 79106 Homes for sale",Public district,PK-5,588.0,15:1,1 review,Amarillo Independent School District
22,"7/10Above averageCarver El Academy1905 Northwest 12th Avenue, Amarillo, TX, 79107 Homes for sale",Public district,2-5,327.0,13:1,No reviews yet,Amarillo Independent School District
23,"6/10AverageWestover Park Jr High School7200 V F West Road, Amarillo, TX, 79119 Homes for sale",Public district,7-8,892.0,19:1,5 reviews,Canyon Independent School District
24,"6/10AverageAmarillo High School2 awardsAwards & BadgesCollege Success Award2019, 2020See all winners in Texas4225 Danbury Street, Amarillo, TX, 79109 Homes for sale",Public district,9-12,2116.0,17:1,4 reviews,Amarillo Independent School District
0,"9/10Above averageAnacortes High School1 awardAwards & BadgesCollege Success Award2020See all winners in Washington1600 20th Street, Anacortes, WA, 98221 Homes for sale",Public district,9-12,795.0,22:1,7 reviews,Anacortes School District
1,"8/10Above averageFidalgo Elementary School13590 Gibralter Road, Anacortes, WA, 98221 Homes for sale",Public district,K-6,367.0,21:1,2 reviews,Anacortes School District
2,"7/10Above averageAnacortes Middle School2202 M Avenue, Anacortes, WA, 98221 Homes for sale",Public district,7-8,623.0,22:1,3 reviews,Anacortes School District
3,"7/10Above averageMount Erie Elementary School1313 41st Street, Anacortes, WA, 98221 Homes for sale",Public district,K-6,379.0,22:1,5 reviews,Anacortes School District
4,"6/10AverageIsland View Elementary School2501 J Avenue, Anacortes, WA, 98221 Homes for sale",Public district,K-6,426.0,18:1,7 reviews,Anacortes School District
5,"Currently unratedSecret Harbor1809 Commercial Ave, Anacortes, WA, 98221 Homes for sale",Private,PK-12,,,No reviews yet,
6,"Currently unratedSan Juan Montessori Preschool1308 7th St, Anacortes, WA, 98221 Homes for sale",Private,PK-K,,,1 review,
7,"Currently unratedFidalgo Bay Montessori School809 23rd Street, Anacortes, WA, 98221 Homes for sale",Private,PK-K,,,1 review,
8,"Currently unratedA New Day Learning Center1220 12th St, Anacortes, WA, 98221 Homes for sale",Private,PK,,,No reviews yet,
9,"Currently unratedLittle Folks University2008 32nd Street, Anacortes, WA, 98221 Homes for sale",Private,PK,,,No reviews yet,
10,"Currently unratedAnacortes Lutheran Pre-School2100 O Avenue, Anacortes, WA, 98221 Homes for sale",Private,PK,,,No reviews yet,
11,"Currently unratedAnacortes Co-Op Pre-SchoolPo Box 1066, Anacortes, WA, 98221 Homes for sale",Private,PK,,,No reviews yet,
12,"Currently unratedWhitney Elementary School1200 M Avenue, Anacortes, WA, 98221 Homes for sale",Public district,PK-K,148.0,23:1,1 review,Anacortes School District
13,"Currently unratedCap Sante High School1600 20th Street, Anacortes, WA, 98221 Homes for sale",Public district,9-12,68.0,,No reviews yet,Anacortes School District
14,"Currently unratedThrough The Garden Gate Preschool2611 Oakes ave., Anacortes, WA, 98221 Homes for sale",Private,PK,,,3 reviews,
15,"Currently unratedYmca Child Care Center1717 J Avenue, Anacortes, WA, 98221 Homes for sale",Private,PK,,,No reviews yet,
16,"Currently unratedSan Juan Montessori Pre-School1308 7th Street, Anacortes, WA, 98221 Homes for sale",Private,PK-K,,,No reviews yet,
17,"Currently unratedAnacortes Christian Church Ps1211 M Avenue, Anacortes, WA, 98221 Homes for sale",Private,PK,,,No reviews yet,
18,"Currently unratedSamish Longhouse Pre-School1618 D Avenue, Anacortes, WA, 98221 Homes for sale",Private,PK,,,No reviews yet,
19,"Currently unratedR & D Home Child Care Center1618 22nd Street, Anacortes, WA, 98221 Homes for sale",Private,PK,,,No reviews yet,
20,"Currently unratedSecond Home Day Care1604 15th Street, Anacortes, WA, 98221 Homes for sale",Private,PK,,,No reviews yet,
21,"Currently unratedTots Are Us Day Care4002 M Avenue, Anacortes, WA, 98221 Homes for sale",Private,PK,,,No reviews yet,
22,"Currently unratedDecatur Elementary SchoolDecatur Island, Anacortes, WA, 98221 Homes for sale",Public district,K-8,3.0,2:1,No reviews yet,Lopez School District
0,"9/10Above averageAnaheim Hills Elementary School6450 East Serrano, Anaheim, CA, 92807 Homes for sale",Public district,K-6,512.0,30:1,13 reviews,Orange Unified School District
1,"9/10Above averageCanyon High School220 South Imperial Highway, Anaheim, CA, 92807 Homes for sale",Public district,9-12,2195.0,29:1,6 reviews,Orange Unified School District
2,"9/10Above averageEl Rancho Charter School181 South Del Giorgio Road, Anaheim, CA, 92808 Homes for sale",Public charter,7-8,1196.0,27:1,21 reviews,Orange Unified School District
3,"8/10Above averageRunning Springs Elementary School8670 East Running Springs Drive, Anaheim, CA, 92808 Homes for sale",Public district,K-6,685.0,28:1,7 reviews,Orange Unified School District
4,"8/10Above averageCanyon Rim Elementary School1090 The Highlands Drive, Anaheim, CA, 92808 Homes for sale",Public district,K-6,647.0,27:1,13 reviews,Orange Unified School District
5,"8/10Above averageCrescent Elementary School5001 Gerda Drive, Anaheim, CA, 92807 Homes for sale",Public district,K-6,740.0,30:1,12 reviews,Orange Unified School District
6,"8/10Above averageNohl Canyon Elementary School4100 East Nohl Ranch Road, Anaheim, CA, 92807 Homes for sale",Public district,K-6,543.0,31:1,6 reviews,Orange Unified School District
7,"8/10Above averageEsperanza High School1830 North Kellogg Drive, Anaheim, CA, 92807 Homes for sale",Public district,9-12,1580.0,23:1,11 reviews,Placentia-Yorba Linda Unified School District
8,"8/10Above averageWoodsboro Elementary School7575 East Woodsboro Avenue, Anaheim, CA, 92807 Homes for sale",Public district,K-6,537.0,26:1,8 reviews,Placentia-Yorba Linda Unified School District
9,"7/10Above averageFranklin (Benjamin) Elementary School521 West Water Street, Anaheim, CA, 92805 Homes for sale",Public district,K-6,730.0,27:1,12 reviews,Anaheim Elementary School District
10,"7/10Above averageWalt Disney Elementary School2323 West Orange Avenue, Anaheim, CA, 92804 Homes for sale",Public district,K-6,616.0,29:1,11 reviews,Magnolia Elementary School District
11,"7/10Above averageJuliette Low Elementary School215 North Ventura, Anaheim, CA, 92801 Homes for sale",Public district,PK-6,562.0,27:1,12 reviews,Magnolia Elementary School District
